,id,target,candidate,rouge1,rouge2,rougeL,rougeLs,chrf
0,0,"['Hackers who breached US government networks stole far more fingerprint records than first thought, officials have said.']","['more than 5.6 million fingerprint records were stolen from the office of personnel management . initial investigation suggested only 1.1 million were lost . the white house played down the significance of the theft saying that the ability to abuse the data was ""currently limited""']",0.1290322580645161,0.0333333333333333,0.096774193548387,0.096774193548387,31.581734884107487
1,1,"['A ""major"" fire on Bognor Regis seafront has been brought under control.']",['fire broke out at beach restaurant in the early hours of sunday . some of the properties were derelict and the buildings were completely destroyed . firefighters were sent to tackle the blaze at its height . residents were evacuated to a leisure centre .'],0.0754716981132075,0.0,0.0377358490566037,0.0377358490566037,16.765351529342286
2,2,['The European Commission (EC) has launched an investigation into whether a major windfarm off the Devon coast could endanger wildlife.'],['the 240-turbine Atlantic Array would be double the size of any windfarm currently operating in Britain . a Defra spokesperson they are working to identify further sites . the EC raised their concerns following a report into the delay to designate sites as Special Areas of Conservation .'],0.1818181818181818,0.0,0.1212121212121212,0.1212121212121212,25.05746991896366
3,3,['A patient has been diagnosed with the rare viral infection monkeypox in the south west of England.'],['the patient contracted monkeypox while visiting Nigeria . the condition is similar to human smallpoox and can be fatal . it is not the first time monkey pox has been detected in the uk .'],0.2857142857142857,0.0851063829787234,0.2040816326530612,0.2040816326530612,35.20785234939852
4,4,"['UK inflation will quadruple to about 4% in the second half of next year and cut disposable income, a leading think tank has forecast.']","['consumer price index (CPI) inflation rose to 1% in September, up from 0.6% in august . that was the highest rate for nearly two years as the cost of clothes, petrol and hotel rooms increased .']",0.2033898305084746,0.0,0.2033898305084746,0.2033898305084746,26.293787686984555
5,5,['Childish Gambino has made Grammy Awards history by winning both song and record of the year for This Is America.'],['this is the first time a rap song has won both awards at the Grammys . the actor did not attend or perform at the awards ceremony . this is a song about representation of black people in the u.s.'],0.271186440677966,0.0350877192982456,0.1694915254237288,0.1694915254237288,27.38051618289709
6,6,['A cyclist has died in a crash with a van in Neath Port Talbot.'],['a black Volkswagen Transporter was in collision with a cyclist on the a4109 at Banwen . the rider was declared dead at scene and police shut the road for five hours .'],0.2272727272727272,0.0952380952380952,0.1818181818181818,0.1818181818181818,23.76823938240945
7,7,"['Support from the Welsh NHS after sepsis was like being on a rollercoaster ""blindfolded"", a Tory politician who survived the illness has said.']","['more than 10,000 people get sepsis each year in Wales and about 2,000 of them die . many recover within 18 months, but some suffer serious long-term physical and psychological problems . the charity says these include post-traumatic stress disorder (PTSD) and anxiety .']",0.0588235294117647,0.0,0.0588235294117647,0.0588235294117647,20.855508838945024
8,8,"['A millipede so rare it is ""new to science"" and does not even have a common name, has been found in Neath Port Talbot.']","['youngsters on a Halloween insect hunt found the bug at Craig Gwladus, near Cilfrew . it has since been identified as the Turdulisoma cf turdulorum millipede . the bug is so rare it is only the third known site where it has been found .']",0.2727272727272727,0.15625,0.2727272727272727,0.2727272727272727,32.61997506884249
9,9,['The parents of a boy who died in the 2014 floods have publicly thanked those who helped raise money for a lawyer to represent them at his inquest.'],"['seven-year-old died at his home next to the Thames in Chertsey, Surrey on 8 February 2014 . a post-mortem examination suggested carbon monoxide fumes from a petrol-driven pump may have killed the boy . the inquest heard detailed scientific evidence about what gas may have died . his parents believe he was killed by hydrogen cyanide in floodwater polluted by a former landfill site .']",0.3010752688172043,0.0219780219780219,0.1290322580645161,0.1290322580645161,27.911351705568663
